# Voodoo Trace - Frame 49
# Format: <CMD> <timestamp> <addr> [register_name] <data> [(float_value)] [xN]
# Fixed-point formats: S12.4 (vertices), S18.14 (RGBA), S20.12 (Z), S14.18 (S/T), S2.30 (W)
#
RREG_L               54 0x000000 status           0x1f89b3bf
WREG_L            11611 0x2000ac fstartG          0x43484983 (200.287155)
WREG_L            11633 0x2000b0 fdGdX            0x3b8bda5f (0.004268)
WREG_L            11633 0x2000b4 fdGdY            0x3c31bf93 (0.010849)
WREG_L            11658 0x2000b8 fstartB          0x43484983 (200.287155)
WREG_L            11680 0x2000bc fdBdX            0x3b8bda5f (0.004268)
WREG_L            11680 0x2000c0 fdBdY            0x3c31bf93 (0.010849)
WREG_L            11705 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L            11748 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L            11748 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L            11773 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L            11816 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L            11816 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L            11844 0xe20000 0x00000000
WREG_L            11882 0x200100 ftriangleCMD     0xc5120c60
WREG_L            11929-       11971 0x000110 fbzMode          0x000b4379 x2
WREG_L            12328 0x00010c alphaMode        0x00045110
WREG_L            12448 0x200088 fvertexAx        0x494015ed (786782.812500)
WREG_L            12523 0x20008c fvertexAy        0x49400961 (786582.062500)
WREG_L            12523 0x200090 fvertexBx        0x49401655 (786789.312500)
WREG_L            12523 0x200094 fvertexBy        0x49400b2b (786610.687500)
WREG_L            12523 0x200098 fvertexCx        0x494012c5 (786732.312500)
WREG_L            12523 0x20009c fvertexCy        0x49400bac (786618.750000)
WREG_L            12580 0x2000a0 fstartR          0x43491d32 (201.114044)
WREG_L            12602 0x2000a4 fdRdX            0x3aba7687 (0.001423)
WREG_L            12602 0x2000a8 fdRdY            0x3c881897 (0.016613)
WREG_L            12627 0x2000ac fstartG          0x43491d32 (201.114044)
WREG_L            12649 0x2000b0 fdGdX            0x3aba7687 (0.001423)
WREG_L            12649 0x2000b4 fdGdY            0x3c881897 (0.016613)
WREG_L            12674 0x2000b8 fstartB          0x43491d32 (201.114044)
WREG_L            12696 0x2000bc fdBdX            0x3aba7687 (0.001423)
WREG_L            12696 0x2000c0 fdBdY            0x3c881897 (0.016613)
WREG_L            12721 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L            12764 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L            12764 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L            12789 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L            12832 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L            12832 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L            12860 0xe20000 0x00000000
WREG_L            12898 0x200100 ftriangleCMD     0x44d28100
WREG_L            12945-       12987 0x000110 fbzMode          0x000b4379 x2
WREG_L            13344 0x00010c alphaMode        0x00045110
WREG_L            13463 0x200088 fvertexAx        0x49401bbc (786875.750000)
WREG_L            13538 0x20008c fvertexAy        0x49400d5f (786645.937500)
WREG_L            13538 0x200090 fvertexBx        0x49401c45 (786884.312500)
WREG_L            13538 0x200094 fvertexBy        0x49400f48 (786676.500000)
WREG_L            13538 0x200098 fvertexCx        0x49401b34 (786867.250000)
WREG_L            13538 0x20009c fvertexCy        0x4940112e (786706.875000)
WREG_L            13595 0x2000a0 fstartR          0x43494aee (201.292694)
WREG_L            13617 0x2000a4 fdRdX            0x3bb7dab1 (0.005611)
WREG_L            13617 0x2000a8 fdRdY            0xbc1a0a7b (-0.009402)
WREG_L            13642 0x2000ac fstartG          0x43494aee (201.292694)
WREG_L            13664 0x2000b0 fdGdX            0x3bb7dab1 (0.005611)
WREG_L            13664 0x2000b4 fdGdY            0xbc1a0a7b (-0.009402)
WREG_L            13689 0x2000b8 fstartB          0x43494aee (201.292694)
WREG_L            13711 0x2000bc fdBdX            0x3bb7dab1 (0.005611)
WREG_L            13711 0x2000c0 fdBdY            0xbc1a0a7b (-0.009402)
WREG_L            13736 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L            13779 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L            13779 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L            13804 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L            13847 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L            13847 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L            13875 0xe20000 0x00000000
WREG_L            13913 0x200100 ftriangleCMD     0x444363c0
WREG_L            13960-       14002 0x000110 fbzMode          0x000b4379 x2
WREG_L            14359 0x00010c alphaMode        0x00045110
WREG_L            14478 0x200088 fvertexAx        0x4940195e (786837.875000)
WREG_L            14553 0x20008c fvertexAy        0x49400bf4 (786623.250000)
WREG_L            14553 0x200090 fvertexBx        0x49401bbc (786875.750000)
WREG_L            14553 0x200094 fvertexBy        0x49400d5f (786645.937500)
WREG_L            14553 0x200098 fvertexCx        0x49401b34 (786867.250000)
WREG_L            14553 0x20009c fvertexCy        0x4940112e (786706.875000)
WREG_L            14610 0x2000a0 fstartR          0x4349704d (201.438675)
WREG_L            14632 0x2000a4 fdRdX            0x3b07dd95 (0.002073)
WREG_L            14632 0x2000a8 fdRdY            0xbc22202f (-0.009895)
WREG_L            14657 0x2000ac fstartG          0x4349704d (201.438675)
WREG_L            14679 0x2000b0 fdGdX            0x3b07dd95 (0.002073)
WREG_L            14679 0x2000b4 fdGdY            0xbc22202f (-0.009895)
WREG_L            14704 0x2000b8 fstartB          0x4349704d (201.438675)
WREG_L            14726 0x2000bc fdBdX            0x3b07dd95 (0.002073)
WREG_L            14726 0x2000c0 fdBdY            0xbc22202f (-0.009895)
WREG_L            14751 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L            14794 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L            14794 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L            14819 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L            14862 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L            14862 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L            14890 0xe20000 0x00000000
WREG_L            14928 0x200100 ftriangleCMD     0x451c4da0
WREG_L            14975-       15017 0x000110 fbzMode          0x000b4379 x2
WREG_L            15374 0x00010c alphaMode        0x00045110
WREG_L            15493 0x200088 fvertexAx        0x4940195e (786837.875000)
WREG_L            15568 0x20008c fvertexAy        0x49400bf4 (786623.250000)
WREG_L            15568 0x200090 fvertexBx        0x49401b34 (786867.250000)
WREG_L            15568 0x200094 fvertexBy        0x4940112e (786706.875000)
WREG_L            15568 0x200098 fvertexCx        0x494018b6 (786827.375000)
WREG_L            15568 0x20009c fvertexCy        0x4940123e (786723.875000)
WREG_L            15625 0x2000a0 fstartR          0x4349704d (201.438675)
WREG_L            15647 0x2000a4 fdRdX            0x3b0a42c3 (0.002110)
